Regiao,Mamografos_existentes,Mamografos_em_uso,Utilização(%)
Norte,464,433,"93,32%"
Acre,19,19,"100,00%"
Amapá,27,25,"92,59%"
Amazonas,119,103,"86,55%"
Pará,185,176,"95,14%"
Rondônia,63,60,"95,24%"
Roraima,9,9,"100,00%"
Tocantins,42,41,"97,62%"
Nordeste,1560,1500,"96,15%"
Alagoas,103,98,"95,15%"
Bahia,426,406,"95,31%"
Ceará,211,205,"97,16%"
Maranhão,166,160,"96,39%"
Paraíba,174,163,"93,68%"
Pernambuco,230,224,"97,39%"
Piauí,94,93,"98,94%"
Rio Grande do Norte,89,86,"96,63%"
Sergipe,67,65,"97,01%"
Sudeste,3010,2896,"96,21%"
Espírito Santo,139,136,"97,84%"
Minas Gerais,732,694,"94,81%"
Rio de Janeiro,643,616,"95,80%"
São Paulo,1496,1450,"96,93%"
Sul,811,993,"122,44%"
Paraná,117,318,"271,79%"
Rio Grande do Sul,424,407,"95,99%"
Santa Catarina,270,268,"99,26%"
Centro-oeste,640,598,"93,44%"
Distrito Federal,148,120,"81,08%"
Goiás,269,266,"98,88%"
Mato Grosso,135,128,"94,81%"
Mato Grosso do Sul,88,84,"95,45%"
Brasil,6485,6420,"99,00%"
